rect=[[8.0 478.6] - [1358.0 735.0]] view_rect=[[8.0 478.6] - [8.0 478.6]] click p_screen=Some([517.0 544.0]) p_canvas=Some([-36.8 -92.2]) frame.pan=[539.0 140.6] zoom=0.816 node_sob=Some(NodeIndex(4)) algum_no_tela=Some((NodeIndex(0), [310.5 619.2], [92.0 75.2])) usando_widget=true n_nodes=5
rect=[[8.0 478.6] - [1358.0 735.0]] view_rect=[[8.0 478.6] - [8.0 478.6]] click p_screen=Some([522.0 515.0]) p_canvas=Some([109.0 -127.7]) frame.pan=[425.1 140.6] zoom=0.816 node_sob=Some(NodeIndex(3)) algum_no_tela=Some((NodeIndex(0), [196.5 619.2], [92.0 75.2])) usando_widget=true n_nodes=5
rect=[[8.0 478.6] - [1358.0 735.0]] view_rect=[[8.0 478.6] - [8.0 478.6]] click p_screen=Some([940.0 613.0]) p_canvas=Some([621.4 -7.6]) frame.pan=[425.1 140.6] zoom=0.816 node_sob=Some(NodeIndex(4)) algum_no_tela=Some((NodeIndex(0), [196.5 619.2], [92.0 75.2])) usando_widget=true n_nodes=5
rect=[[8.0 478.6] - [1358.0 735.0]] view_rect=[[8.0 478.6] - [8.0 478.6]] click p_screen=Some([941.0 611.0]) p_canvas=Some([622.6 -10.0]) frame.pan=[425.1 140.6] zoom=0.816 node_sob=Some(NodeIndex(4)) algum_no_tela=Some((NodeIndex(0), [196.5 619.2], [92.0 75.2])) usando_widget=true n_nodes=5
rect=[[8.0 478.6] - [1358.0 735.0]] view_rect=[[8.0 478.6] - [8.0 478.6]] click p_screen=Some([675.0 385.0]) p_canvas=Some([296.5 -287.1]) frame.pan=[425.1 140.6] zoom=0.816 node_sob=None algum_no_tela=Some((NodeIndex(0), [196.5 619.2], [92.0 75.2])) usando_widget=true n_nodes=5
rect=[[8.0 465.6] - [1358.0 735.0]] view_rect=[[8.0 465.6] - [8.0 465.6]] click p_screen=Some([354.0 516.0]) p_canvas=Some([551.6 -126.8]) frame.pan=[-205.6 177.2] zoom=1.000 node_sob=Some(NodeIndex(4)) algum_no_tela=Some((NodeIndex(0), [-487.6 642.8], [92.0 75.2])) usando_widget=true n_nodes=5
rect=[[8.0 465.6] - [1358.0 735.0]] view_rect=[[8.0 465.6] - [8.0 465.6]] click p_screen=Some([1254.0 293.0]) p_canvas=Some([1742.5 -321.6]) frame.pan=[-496.5 149.0] zoom=1.000 node_sob=None algum_no_tela=Some((NodeIndex(0), [-778.5 614.6], [92.0 75.2])) usando_widget=true n_nodes=5
rect=[[8.0 465.6] - [1358.0 735.0]] view_rect=[[8.0 465.6] - [8.0 465.6]] click p_screen=Some([718.0 372.0]) p_canvas=Some([560.3 -242.6]) frame.pan=[149.7 149.0] zoom=1.000 node_sob=None algum_no_tela=Some((NodeIndex(0), [-132.3 614.6], [92.0 75.2])) usando_widget=true n_nodes=5
rect=[[8.0 429.6] - [1358.0 735.0]] view_rect=[[8.0 429.6] - [8.0 429.6]] click p_screen=Some([820.0 486.0]) p_canvas=Some([660.6 -132.0]) frame.pan=[284.2 161.9] zoom=0.799 node_sob=None algum_no_tela=Some((NodeIndex(0), [60.5 591.5], [92.4 75.5])) usando_widget=true n_nodes=5
rect=[[8.0 429.6] - [1358.0 735.0]] view_rect=[[8.0 429.6] - [8.0 429.6]] click p_screen=Some([855.0 533.0]) p_canvas=Some([503.8 -66.1]) frame.pan=[375.4 165.3] zoom=0.936 node_sob=Some(NodeIndex(4)) algum_no_tela=Some((NodeIndex(0), [111.9 594.9], [89.5 74.1])) usando_widget=true n_nodes=5
rect=[[8.0 429.6] - [1358.0 735.0]] view_rect=[[8.0 429.6] - [8.0 429.6]] click p_screen=Some([888.0 573.0]) p_canvas=Some([539.0 -23.3]) frame.pan=[375.4 165.3] zoom=0.936 node_sob=Some(NodeIndex(4)) algum_no_tela=Some((NodeIndex(0), [111.9 594.9], [89.5 74.1])) usando_widget=true n_nodes=5
rect=[[8.0 429.6] - [1358.0 735.0]] view_rect=[[8.0 429.6] - [8.0 429.6]] click p_screen=Some([907.0 501.0]) p_canvas=Some([559.3 -100.3]) frame.pan=[375.4 165.3] zoom=0.936 node_sob=Some(NodeIndex(4)) algum_no_tela=Some((NodeIndex(0), [111.9 594.9], [89.5 74.1])) usando_widget=true n_nodes=5
rect=[[8.0 429.6] - [1358.0 735.0]] view_rect=[[8.0 429.6] - [8.0 429.6]] click p_screen=Some([944.0 566.0]) p_canvas=Some([598.9 -30.8]) frame.pan=[375.4 165.3] zoom=0.936 node_sob=None algum_no_tela=Some((NodeIndex(0), [111.9 594.9], [89.5 74.1])) usando_widget=true n_nodes=5
rect=[[8.0 429.6] - [1358.0 735.0]] view_rect=[[8.0 429.6] - [8.0 429.6]] click p_screen=Some([896.0 520.0]) p_canvas=Some([547.6 -80.0]) frame.pan=[375.4 165.3] zoom=0.936 node_sob=Some(NodeIndex(5)) algum_no_tela=Some((NodeIndex(0), [111.9 594.9], [89.5 74.1])) usando_widget=true n_nodes=6
rect=[[8.0 429.6] - [1358.0 735.0]] view_rect=[[8.0 429.6] - [8.0 429.6]] click p_screen=Some([902.0 460.0]) p_canvas=Some([554.0 -144.1]) frame.pan=[375.4 165.3] zoom=0.936 node_sob=None algum_no_tela=Some((NodeIndex(0), [111.9 594.9], [89.5 74.1])) usando_widget=true n_nodes=6
rect=[[8.0 429.6] - [1358.0 735.0]] view_rect=[[8.0 429.6] - [8.0 429.6]] click p_screen=Some([860.0 455.0]) p_canvas=Some([509.1 -149.4]) frame.pan=[375.4 165.3] zoom=0.936 node_sob=None algum_no_tela=Some((NodeIndex(0), [111.9 594.9], [89.5 74.1])) usando_widget=true n_nodes=6
rect=[[8.0 429.6] - [1358.0 735.0]] view_rect=[[8.0 429.6] - [8.0 429.6]] click p_screen=Some([860.0 455.0]) p_canvas=Some([509.1 -149.4]) frame.pan=[375.4 165.3] zoom=0.936 node_sob=None algum_no_tela=Some((NodeIndex(0), [111.9 594.9], [89.5 74.1])) usando_widget=true n_nodes=6
rect=[[8.0 429.6] - [1358.0 735.0]] view_rect=[[8.0 429.6] - [8.0 429.6]] click p_screen=Some([712.0 533.0]) p_canvas=Some([351.0 -66.1]) frame.pan=[375.4 165.3] zoom=0.936 node_sob=None algum_no_tela=Some((NodeIndex(0), [111.9 594.9], [89.5 74.1])) usando_widget=true n_nodes=6
rect=[[8.0 429.6] - [1358.0 735.0]] view_rect=[[8.0 429.6] - [8.0 429.6]] click p_screen=Some([784.0 651.0]) p_canvas=Some([462.3 -105.0]) frame.pan=[405.6 305.6] zoom=0.801 node_sob=Some(NodeIndex(4)) algum_no_tela=Some((NodeIndex(0), [181.2 735.1], [92.4 75.4])) usando_widget=true n_nodes=6
rect=[[8.0 429.6] - [1358.0 735.0]] view_rect=[[8.0 429.6] - [8.0 429.6]] click p_screen=Some([971.0 651.0]) p_canvas=Some([695.7 -105.0]) frame.pan=[405.6 305.6] zoom=0.801 node_sob=Some(NodeIndex(5)) algum_no_tela=Some((NodeIndex(0), [181.2 735.1], [92.4 75.4])) usando_widget=true n_nodes=6
rect=[[8.0 429.6] - [1358.0 735.0]] view_rect=[[8.0 429.6] - [8.0 429.6]] click p_screen=Some([709.0 614.0]) p_canvas=Some([368.7 -151.2]) frame.pan=[405.6 305.6] zoom=0.801 node_sob=None algum_no_tela=Some((NodeIndex(0), [181.2 735.1], [92.4 75.4])) usando_widget=true n_nodes=6
